,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,5,325,11228,7527,1691,1334,0.447,0.361,0.794,34.5,23.2,5.2,4.1,18.7,0.08,1.2,9
2,2,GSW,James Wiseman,Memphis,4,148,2799,1350,830,110,0.56,0.262,0.683,18.9,9.1,5.6,0.7,4.3,0.074,-3.9,-1.4
3,3,CHO,LaMelo Ball,,5,202,6484,4234,1244,1489,0.427,0.371,0.836,32.1,21,6.2,7.4,12.9,0.096,3,8.2
4,4,CHI,Patrick Williams,Florida State,5,228,6335,2219,964,315,0.462,0.409,0.785,27.8,9.7,4.2,1.4,8,0.061,-2,0
5,5,CLE,Isaac Okoro,Auburn,5,300,8132,2497,849,506,0.468,0.355,0.729,27.1,8.3,2.8,1.7,14.8,0.087,-2.1,-0.1
6,6,ATL,Onyeka Okongwu,USC,5,256,5398,2235,1550,261,0.627,0.282,0.759,21.1,8.7,6.1,1,19.3,0.172,0.1,2.9
7,7,DET,Killian Hayes,,4,210,5479,1704,619,1090,0.382,0.277,0.775,26.1,8.1,2.9,5.2,-0.5,-0.004,-3.9,-2.7
8,8,NYK,Obi Toppin,Dayton,5,307,5176,2483,1004,343,0.522,0.349,0.776,16.9,8.1,3.3,1.1,13.5,0.126,0.9,3.8
9,9,WAS,Deni Avdija,,5,311,8156,3109,1854,801,0.453,0.329,0.743,26.2,10,6,2.6,10,0.059,-1.7,0.6
10,10,PHO,Jalen Smith,Maryland,5,229,3731,1942,1187,172,0.512,0.339,0.745,16.3,8.5,5.2,0.8,9.9,0.128,-0.5,1.4
11,11,SAS,Devin Vassell,Florida State,5,248,6635,3388,906,630,0.446,0.371,0.814,26.8,13.7,3.7,2.5,10.2,0.074,-0.3,2.9
12,12,SAC,Tyrese Haliburton,Iowa State,5,285,9431,4920,1044,2484,0.473,0.387,0.855,33.1,17.3,3.7,8.7,29.3,0.149,4.2,14.8
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,0.397,0.294,0.848,13.3,5.2,1.3,1.8,1.3,0.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,5,249,5190,2084,792,257,0.454,0.376,0.809,20.8,8.4,3.2,1,7.8,0.073,-2.2,-0.2
15,15,ORL,Cole Anthony,UNC,5,277,6966,3510,1215,1076,0.416,0.342,0.846,25.1,12.7,4.4,3.9,9.1,0.063,-0.8,2.2
16,16,POR,Isaiah Stewart,Washington,5,260,6652,2352,1931,331,0.501,0.344,0.738,25.6,9,7.4,1.3,12.8,0.092,-2,-0.1
17,17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,0.391,0.304,0.702,20.4,7.5,4.6,1.9,-0.2,-0.002,-3.1,-1
18,18,DAL,Josh Green,Arizona,5,245,5136,1601,663,377,0.496,0.385,0.68,21,6.5,2.7,1.5,8.5,0.079,-2.5,-0.7
19,19,BRK,Saddiq Bey,Villanova,4,292,8804,4103,1532,538,0.408,0.352,0.842,30.2,14.1,5.2,1.8,14.6,0.079,-0.7,2.9
20,20,MIA,Precious Achiuwa,Memphis,5,266,5282,2056,1516,263,0.481,0.306,0.604,19.9,7.7,5.7,1,9.5,0.087,-2.4,-0.5
21,21,PHI,Tyrese Maxey,Kentucky,5,282,8814,5222,836,1169,0.463,0.386,0.861,31.3,18.5,3,4.1,23.7,0.129,1.2,7.1
22,22,DEN,Zeke Nnaji,Arizona,5,209,2473,888,483,80,0.508,0.357,0.651,11.8,4.2,2.3,0.4,5.4,0.104,-3.1,-0.7
23,23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,0.27,0.227,0.846,6.3,1.1,1,0.6,-0.3,-0.048,-7.8,-0.5
24,24,MIL,R.J. Hampton,,4,170,3116,1155,466,307,0.408,0.338,0.679,18.3,6.8,2.7,1.8,0.8,0.013,-3.8,-1.4
25,25,OKC,Immanuel Quickley,Kentucky,5,294,7442,4024,986,1024,0.421,0.375,0.857,25.3,13.7,3.4,3.5,19,0.122,1.1,5.7
26,26,BOS,Payton Pritchard,Oregon,5,291,5415,2395,724,673,0.45,0.4,0.857,18.6,8.2,2.5,2.3,15.1,0.134,0.7,3.6
27,27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,0.758,,0.444,8.6,3,2.8,0.2,2,0.133,-1.5,0.1
28,28,LAL,Jaden McDaniels,Washington,5,307,8526,3011,1141,441,0.48,0.35,0.726,27.8,9.8,3.7,1.4,12.7,0.072,-2.4,-0.8
29,29,TOR,Malachi Flynn,San Diego State,4,213,3032,1168,369,407,0.387,0.334,0.745,14.2,5.5,1.7,1.9,2.8,0.045,-2.6,-0.5
30,30,BOS,Desmond Bane,TCU,5,261,7550,4499,1122,879,0.466,0.41,0.875,28.9,17.2,4.3,3.4,19.9,0.126,2,7.6
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,0.474,0.143,0.654,5.1,1.9,1.4,0.1,0.2,0.058,-6.3,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,4,177,3753,1373,489,518,0.372,0.31,0.793,21.2,7.8,2.8,2.9,-0.2,-0.002,-4.6,-2.4
35,35,SAC,Xavier Tillman Sr.,Michigan State,5,242,4081,1373,967,316,0.516,0.262,0.574,16.9,5.7,4,1.3,10.3,0.121,0.1,2.2
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,4,92,1528,391,198,140,0.428,0.34,0.769,16.6,4.3,2.2,1.5,1.4,0.043,-4.5,-1
38,38,UTA,Saben Lee,Vanderbilt,4,134,1943,697,260,378,0.421,0.271,0.734,14.5,5.2,1.9,2.8,3.5,0.085,-1.4,0.3
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,5,259,5679,2186,729,1224,0.479,0.3,0.838,21.9,8.4,2.8,4.7,11.8,0.1,-0.8,1.7
42,42,NOP,Nick Richards,Kentucky,5,209,3647,1453,1144,123,0.658,0.25,0.732,17.4,7,5.5,0.6,11.2,0.147,-1.9,0.1
43,43,SAC,Jahmi'us Ramsey,Texas Tech,3,39,349,147,45,21,0.416,0.271,0.68,8.9,3.8,1.2,0.5,-0.1,-0.008,-5.4,-0.3
44,44,CHI,Marko Simonovic,,2,16,55,23,12,0,0.273,0.222,0.692,3.4,1.4,0.8,0,0,-0.026,-12.3,-0.1
45,45,MIL,Jordan Nwora,Louisville,4,206,3359,1564,659,216,0.433,0.376,0.807,16.3,7.6,3.2,1,3,0.043,-2.8,-0.7
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,5,269,4305,1877,508,280,0.425,0.395,0.834,16,7,1.9,1,9.7,0.109,-0.3,1.8
50,50,ATL,Skylar Mays,LSU,4,105,1111,451,122,182,0.445,0.345,0.859,10.6,4.3,1.2,1.7,2.1,0.092,-0.7,0.4
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,KJ Martin,,5,285,6121,2504,1173,340,0.548,0.337,0.672,21.5,8.8,4.1,1.2,12.4,0.097,-1.4,0.9
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,0.416,0.313,0.765,9.8,4,1.5,0.4,-0.1,-0.014,-6.6,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,5,226,2934,1145,926,169,0.556,0.326,0.699,13,5.1,4.1,0.7,10.2,0.167,0.4,1.8
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,5,123,1836,773,203,174,0.403,0.388,0.9,14.9,6.3,1.7,1.4,4.3,0.113,-0.3,0.8
